DTYYYYMMDD,<FIRST>,<HIGH>,<LOW>,CLOSE,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
20230121,15290,16000,14960,15010,41429247810,2759734,420,15740,15000
20230118,15510,16000,15190,15740,16744262970,1066054,247,15830,15640
20230117,15920,16070,15560,15830,21324677960,1347226,383,15930,15600
20230116,15730,16100,15700,15930,50990896430,3201866,280,15490,15910
20230114,14860,16170,14790,15490,30945012240,1997351,397,15560,15730
20230111,15580,15960,15030,15560,56934173360,3657886,756,15400,15100
20230110,14900,15480,14900,15400,70607145000,4583478,765,14750,15350
20230109,14960,15010,14500,14750,45689167950,3098471,418,14630,14860
20230108,14200,14750,14200,14630,64479894680,4407909,445,14050,14750
20230107,13700,14180,13530,14050,49436882840,3517446,599,13550,14100
20230104,13270,13700,13200,13550,12342545360,915288,206,13680,13680
20230103,13950,14000,13260,13680,40773422440,2981352,515,13680,13440
20230102,13130,13780,13130,13680,50383597580,3682148,284,13130,13780
20230101,13230,13740,12880,13130,25834267470,1967919,299,13300,13010
20221231,13810,13810,13220,13300,25839913060,1942948,334,13910,13260
20221228,13770,14150,13770,13910,14171720460,1010122,196,13590,14110
20221226,13300,13680,13300,13590,6522955450,481835,154,13620,13620
20221225,13600,13860,13500,13620,12531826380,917987,201,13560,13550
20221224,12790,13610,12790,13560,28966632170,2135991,311,12970,13600
20221221,12950,13200,12770,12970,8244689480,633478,96,12930,13050
20221220,13070,13070,12590,12930,7327483180,577093,190,13100,12670
20221219,13340,13340,12740,13100,6570531460,509724,168,13220,12770
20221218,13200,13400,13010,13220,12604387890,952538,239,13200,13200
20221217,13230,13370,12970,13200,24786233660,1877195,255,12930,13200
20221214,12730,13060,12450,12930,16934840680,1309092,188,12850,13000
20221213,12970,13070,12730,12850,16932470290,1316394,178,12670,12900
20221212,12640,12980,12610,12670,18005843030,1421283,141,12490,12730
20221211,12160,12650,12160,12490,4580810640,366547,98,12490,12530
20221210,12280,12460,12200,12490,3443035490,280770,85,12550,12360
20221207,12440,12600,12270,12550,4861278100,392220,68,12610,12490
20221206,12530,12690,12300,12610,4207104690,337343,121,12660,12460
20221205,12560,12800,12500,12660,4972521130,393959,70,12680,12750
20221204,12610,12760,12470,12680,4188224010,332776,102,12710,12550
