DTYYYYMMDD,<FIRST>,<HIGH>,<LOW>,CLOSE,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
20230121,6190,6310,6100,6140,1.58E+12,257670035,14448,6400,6130
20230118,6410,6460,6350,6400,6.37E+11,99567404,7617,6440,6380
20230117,6510,6560,6360,6440,9.47E+11,147135689,9549,6460,6390
20230116,6430,6560,6380,6460,7.61E+11,117797090,8144,6300,6470
20230114,6240,6470,6060,6300,1.02E+12,161647166,9167,6420,6430
20230111,6480,6530,6300,6420,8.69E+11,135329474,10207,6500,6350
20230110,6410,6550,6380,6500,2.69E+12,414261588,18219,6130,6460
20230109,6050,6290,6010,6130,1.09E+12,176884698,9445,6080,6210
20230108,6050,6220,5960,6080,1.29E+12,212355054,11173,5900,6010
20230107,5880,5990,5800,5900,6.15E+11,104310491,7624,5800,5930
20230104,5930,5930,5760,5800,5.00E+11,86151879,6707,5940,5880
20230103,6020,6050,5850,5940,8.97E+11,150830117,8137,5980,5900
20230102,6000,6030,5940,5980,7.62E+11,127510359,7775,5840,5960
20230101,5870,6090,5700,5840,1.23E+12,211337374,11497,5970,5920
20221231,5870,6250,5850,5970,2.07E+12,347343782,18877,6280,5910
20221228,6100,6290,6100,6280,2.58E+12,411315121,12332,5880,6290
20221226,5890,5940,5760,5880,7.08E+11,120347075,8243,5930,5880
20221225,6000,6050,5830,5930,8.36E+11,140889964,9149,5830,5880
20221224,5600,5910,5570,5830,1.13E+12,193191975,10551,5530,5910
20221221,5490,5610,5450,5530,3.63E+11,65637455,4222,5550,5540
20221220,5630,5650,5490,5550,4.39E+11,79175063,4437,5630,5530
20221219,5700,5740,5500,5630,7.86E+11,139743574,6804,5620,5580
20221218,5470,5720,5470,5620,9.40E+11,167058795,7676,5390,5630
20221217,5450,5460,5320,5390,5.28E+11,97960083,6174,5467,5410
20221214,5380,5647,5360,5467,1.13E+12,206867820,10860,5287,5438
20221213,5051,5312,5051,5287,1.84E+12,348239330,11985,4965,5312
20221212,4800,5030,4800,4965,4.70E+11,94668209,5576,4795,5020
20221211,4759,4880,4759,4795,3.37E+11,70375438,4971,4756,4806
20221210,4819,4819,4706,4756,3.46E+11,72699016,4638,4865,4740
20221207,4915,4920,4815,4865,2.57E+11,52737862,5099,4940,4817
20221206,4962,4963,4921,4940,2.63E+11,53175287,3228,4959,4922
20221205,5000,5000,4929,4959,3.71E+11,74759233,3729,4987,4988
20221204,4950,5020,4933,4987,3.70E+11,74246594,4110,4984,4981
20221203,4969,5040,4949,4984,1.92E+11,38451481,2198,4922,4990
20221128,4930,4945,4910,4922,3.25E+11,66075060,3900,4918,4921
20221127,4900,4970,4871,4918,3.13E+11,63563986,3372,4912,4950
20221126,4990,5000,4880,4912,2.00E+11,40813436,3099,4930,4900
20221123,4950,4970,4900,4930,2.30E+11,46624018,3450,4950,4920
20221122,4950,4990,4910,4950,1.58E+11,31997103,2560,4980,4930
20221121,4990,5010,4920,4980,3.12E+11,62515328,3290,4980,4950
20221120,4860,5050,4850,4980,2.51E+11,50420114,3135,4900,4960
20221119,5040,5040,4820,4900,5.24E+11,106945198,5745,5060,4920
20221116,5080,5110,5010,5060,2.44E+11,48226617,3079,5040,5040
20221115,5030,5100,5000,5040,3.66E+11,72657034,3830,5030,5070
20221114,5080,5110,4920,5030,4.16E+11,82687906,4976,5080,5080
20221113,5110,5160,5020,5080,4.61E+11,90819243,6412,5210,5080
20221112,5160,5340,5100,5210,5.66E+11,108555719,7146,5157,5110
20221109,5149,5260,5021,5157,6.81E+11,132021163,7188,5166,5160
20221108,5221,5347,5034,5166,9.25E+11,179079767,10808,5128,5156
20221107,4985,5249,4950,5128,9.54E+11,186032836,10364,4949,5214
20221106,4944,5050,4850,4949,7.62E+11,153882871,8739,4914,4985
20221105,4660,4932,4660,4914,1.24E+12,252089157,7470,4610,4932
20221102,4611,4669,4522,4610,5.25E+11,113926621,4848,4611,4666
20221101,4580,4645,4560,4611,4.20E+11,91024869,4478,4549,4582
20221031,4550,4590,4517,4549,5.34E+11,117473603,5381,4487,4580
20221030,4394,4550,4365,4487,8.57E+11,191063150,6832,4361,4550
20221029,4370,4404,4319,4361,7.58E+11,173822689,6457,4311,4342
20221026,4424,4444,4214,4311,6.68E+11,154912131,8843,4432,4285
20221025,4474,4493,4378,4432,5.75E+11,129681942,8398,4474,4388
20221024,4640,4640,4416,4474,1.40E+12,313694377,17347,4732,4471
20221023,4854,4855,4643,4732,3.70E+11,78221679,6549,4884,4699
20221022,4901,4910,4859,4884,2.29E+11,46946435,3411,4910,4874
20221019,4940,4960,4880,4910,1.08E+11,21968294,2687,4950,4890
20221018,5000,5010,4910,4950,1.39E+11,28056860,2405,4980,4930
20221017,5000,5000,4910,4980,1.49E+11,29816705,2078,4990,5000
20221016,5040,5040,4930,4990,1.87E+11,37568225,2303,5030,5010
20221015,5070,5080,4940,5030,1.48E+11,29365546,2299,5058,5040
