DTYYYYMMDD,<FIRST>,<HIGH>,<LOW>,CLOSE,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
20230121,1094,1095,1036,1052,9.48E+11,901527745,17072,1082,1047
20230118,1082,1102,1064,1082,8.08E+11,746716512,15227,1095,1086
20230117,1114,1133,1071,1095,1.20E+12,1093231535,21606,1096,1077
20230116,1076,1101,1076,1096,1.60E+12,1462144369,22079,1049,1101
20230114,1021,1072,1010,1049,9.76E+11,930479870,15952,1062,1069
20230111,1090,1090,1045,1062,1.56E+12,1465454575,26217,1100,1045
20230110,1120,1129,1079,1100,1.50E+12,1361604734,26865,1092,1083
20230109,1094,1106,1058,1092,3.73E+12,3416097206,41706,1054,1106
20230108,1036,1054,1036,1054,1.96E+12,1859837961,14756,1004,1054
20230107,987,1023,986,1004,1.16E+12,1151186667,17162,975,1023
20230104,981,989,962,975,5.59E+11,572893132,9778,996,985
20230103,1001,1027,979,996,9.89E+11,993181528,15692,994,982
20230102,970,1004,965,994,8.98E+11,903250325,14492,958,990
20230101,957,985,943,958,8.39E+11,876166698,15828,973,964
20221231,998,998,967,973,2.10E+12,2157847766,28918,1017,968
20221228,989,1018,985,1017,2.52E+12,2477097272,25291,970,1018
20221226,967,989,952,970,8.41E+11,867536634,13157,963,974
20221225,970,972,952,963,8.97E+11,931578018,15130,953,963
20221224,937,956,935,953,1.68E+12,1766517013,20007,911,956
20221221,904,919,891,911,3.72E+11,408090055,6689,906,915
20221220,917,920,896,906,4.71E+11,520158934,9671,927,904
20221219,906,949,906,927,1.12E+12,1212311692,17871,906,920
20221218,893,917,893,906,5.38E+11,593292067,10846,890,899
20221217,899,899,883,890,3.71E+11,416894984,8166,901,891
20221214,903,918,891,901,6.08E+11,674324402,11337,887,894
20221213,871,890,855,887,1.30E+12,1466209713,18373,848,890
20221212,834,855,833,848,4.59E+11,541166386,7655,827,854
20221211,820,836,817,827,2.65E+11,320044367,5510,823,830
20221210,830,832,819,823,3.94E+11,479462200,7876,834,820
20221207,839,839,831,834,3.35E+11,402279939,6822,838,833
20221206,842,844,834,838,2.67E+11,318800070,6009,843,839
20221205,843,849,839,843,2.35E+11,278309503,5626,848,846
20221204,855,857,842,848,3.37E+11,397425768,6704,852,852
20221203,848,861,846,852,3.86E+11,452756494,7434,860,855
20221130,862,864,851,860,3.30E+11,383055798,5976,857,853
20221129,857,863,841,857,3.87E+11,451317096,7137,848,861
