DTYYYYMMDD,<FIRST>,<HIGH>,<LOW>,CLOSE,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
20230121,327499,327499,315000,317977,1.64E+11,514239,1009,322461,318191
20230118,322900,325020,320001,322461,84465329012,261940,994,323286,323650
20230117,327101,328000,320900,323286,1.72E+11,532126,1281,321935,321400
20230116,318200,324501,318200,321935,1.26E+11,391119,1042,312484,324500
20230114,311500,318399,306501,312484,1.23E+11,392459,845,313435,318398
20230111,316502,319998,311010,313435,1.68E+11,535124,1105,321003,311073
20230110,318999,325001,316500,321003,1.66E+11,516707,1210,316832,317830
20230109,317000,320970,311250,316832,93222669175,294234,994,316660,317800
20230108,313313,318499,313005,316660,2.02E+11,638201,1181,309266,318003
20230107,303111,311898,303111,309266,1.33E+11,430639,904,303133,311890
20230104,305000,306500,301501,303133,44576382430,147052,591,306968,303022
20230103,310996,312900,303002,306968,1.28E+11,417524,1227,309108,305000
20230102,306266,311210,304001,309108,1.66E+11,536568,1318,300261,309500
20230101,300510,311001,294001,300261,2.62E+11,873546,1531,307097,305995
20221231,317001,317001,300002,307097,4.84E+11,1576967,2268,326194,303400
20221228,311010,340452,310005,326194,5.99E+11,1835702,2326,309502,328011
20221226,305100,313993,303000,309502,2.43E+11,786030,1214,306832,310101
20221225,305001,310001,300010,306832,1.64E+11,535450,1140,301381,308020
20221224,292995,304985,292900,301381,2.00E+11,663790,1047,288344,304675
20221221,286514,290000,286514,288344,58642929251,203378,447,287756,288968
20221220,293001,293001,285110,287756,71589610757,248786,671,292404,286600
20221219,294001,294500,289002,292404,1.02E+11,347224,628,292963,292006
20221218,288001,294499,288001,292963,1.17E+11,399349,859,285816,294499
20221217,287001,287722,282119,285816,67234259994,235236,527,287644,287722
20221214,287230,291001,285013,287644,2.08E+11,723398,718,282715,286901
20221213,274980,286101,274980,282715,2.50E+11,884840,1004,272615,286101
20221212,267001,274750,267001,272615,49685772248,182256,530,265998,274750
20221211,263505,267000,263502,265998,34998431782,131574,311,264106,266801
20221210,266001,266003,263001,264106,2.77E+11,1048342,367,267390,263601
