dateissue,Value
14011101,1657576.7
14011028,1689144.1
14011027,1687047.7
14011026,1680675.2
14011025,1643714
14011024,1643714
14011021,1652087
14011020,1668186.9
14011019,1646905.8
14011018,1635229.2
14011017,1598061.4
14011014,1579119.3
14011013,1591353.9
14011012,1593285
14011011,1564365.7
14011010,1590495.5
14011007,1647314.5
14011005,1576396.8
14011004,1563567.4
14011003,1538003.2
14010930,1496200.8
14010929,1492095.1
14010928,1500908.6
14010927,1500241.8
14010926,1469933.2
14010923,1472760.5
14010922,1454468.2
14010921,1409355.1
14010920,1389362.2
14010919,1383737.5
14010916,1402830.4
14010915,1409404.4
14010914,1413604.7
14010913,1417839.4
14010912,1417719.8
14010909,1417371.8
14010908,1414204.6
14010907,1408348.5
14010906,1406202
14010905,1408210.9
14010902,1410188.2
14010901,1407654.1
14010830,1408597.9
14010829,1404627.2
14010828,1393086.2
14010825,1413573.7
14010824,1410423.9
14010823,1408174.3
14010822,1419140.2
14010821,1426096
14010818,1414356.2
14010817,1407734.1
14010816,1389752.6
14010815,1344675.9
14010814,1328324.1
14010811,1283540.8
14010810,1280456.2
14010809,1269833.4
14010808,1254464.8
14010807,1244627.3
14010804,1241067.1
14010803,1267060.7
14010802,1277736.9
14010801,1296797.8
14010730,1308960
14010727,1310165.9
14010726,1312563.2
14010725,1311109.9
14010724,1311288.6
14010723,1317894.2
14010720,1319789.7
14010719,1313583.9
14010718,1303920.4
14010717,1305083
14010716,1316721.1
14010712,1313853.1
14010711,1318714.2
14010710,1322025.8
14010709,1330879.1
14010706,1346563.5
14010704,1334448.1
14010702,1328185.9
14010630,1355240.9
14010629,1367060.4
14010628,1373821.4
14010627,1377917.5
14010623,1389099
14010622,1393126.7
14010621,1388970.4
14010620,1390732.4
14010619,1397434.5
14010616,1412856.5
14010615,1420834.1
14010614,1426779.6
14010613,1426908.2
14010612,1426941.2
14010609,1439396.4
14010608,1441217.1
14010607,1445139
14010606,1444086.8
14010605,1450045.2
14010602,1442372.9
14010601,1431477.2
14010531,1424490.9
14010530,1429906.8
14010529,1438819.2
14010526,1451404.1
14010525,1459500.6
14010524,1463697.6
14010523,1463653.5
14010522,1467100.6
14010519,1448464.5
14010518,1451941.9
14010515,1448922.6
14010512,1437360.8
14010511,1430021
14010510,1427605.6
14010509,1423496.7
14010508,1440855.3
14010505,1443712.6
14010504,1438448.4
14010503,1439416.8
14010502,1463758.4
