DTYYYYMMDD,CLOSE
2/2/2021,10955000
2/3/2021,10883000
2/4/2021,10744000
2/6/2021,10901000
2/7/2021,10876000
2/8/2021,11310000
2/9/2021,11398000
2/11/2021,11649000
2/13/2021,11770000
2/14/2021,11529000
2/15/2021,11345000
2/16/2021,11534000
2/17/2021,11349000
2/18/2021,11409000
2/20/2021,11008000
2/21/2021,10825000
2/22/2021,10721000
2/23/2021,10915000
2/24/2021,11019000
2/27/2021,10795000
2/28/2021,10772000
3/1/2021,10818000
3/2/2021,10650000
3/3/2021,10624000
3/4/2021,10521000
3/6/2021,10100000
3/7/2021,10287000
3/8/2021,10126000
3/9/2021,10211000
3/10/2021,10287000
3/13/2021,10507000
3/14/2021,10442000
3/15/2021,10504000
3/16/2021,10664000
3/17/2021,10768000
3/18/2021,10855000
3/27/2021,10830000
3/28/2021,10955000
3/29/2021,11031000
3/30/2021,10876000
3/31/2021,10846000
4/3/2021,10537000
4/4/2021,10599000
4/5/2021,10592000
4/6/2021,10701000
4/7/2021,10585000
4/8/2021,10511000
4/10/2021,10357000
4/11/2021,10329000
4/12/2021,10391000
4/13/2021,10428000
4/14/2021,10375000
4/15/2021,10454000
4/17/2021,10382000
4/18/2021,10396000
4/19/2021,10190000
4/20/2021,10228000
4/21/2021,10216000
4/22/2021,10117000
4/24/2021,10038000
4/25/2021,10057000
4/26/2021,9936000
4/27/2021,9983000
4/28/2021,9964000
4/29/2021,9874000
5/1/2021,9724000
5/2/2021,9399000
5/3/2021,9394000
5/5/2021,8981000
5/6/2021,9399000
5/8/2021,9306000
5/9/2021,9387000
5/10/2021,9685000
5/11/2021,9853000
5/12/2021,9943000
5/13/2021,9685000
5/15/2021,10287000
5/16/2021,10179000
5/17/2021,10142000
5/18/2021,10290000
5/19/2021,10156000
5/20/2021,10193000
5/22/2021,10207000
5/23/2021,10292000
5/24/2021,10368000
5/25/2021,10329000
5/26/2021,10442000
5/27/2021,10467000
5/29/2021,10800000
5/29/2021,10800000
5/29/2021,10800000
5/30/2021,11003000
5/31/2021,10980000
6/1/2021,10964000
6/2/2021,10922000
6/3/2021,10793000
6/7/2021,10853000
6/8/2021,10747000
6/9/2021,10832000
6/10/2021,10735000
6/12/2021,10641000
6/13/2021,10758000
6/14/2021,10682000
6/15/2021,10717000
6/16/2021,10809000
6/17/2021,10654000
6/19/2021,10147000
6/20/2021,10283000
6/21/2021,10352000
6/22/2021,10440000
6/23/2021,10382000
6/24/2021,10338000
6/26/2021,10497000
6/27/2021,10585000
6/28/2021,10657000
6/29/2021,10641000
6/30/2021,10724000
7/1/2021,10678000
7/3/2021,10666000
7/4/2021,10597000
7/5/2021,10576000
7/6/2021,10673000
7/7/2021,10604000
7/8/2021,10641000
7/10/2021,10634000
7/11/2021,10648000
7/12/2021,10613000
7/13/2021,10539000
7/14/2021,10491000
7/15/2021,10590000
7/17/2021,10523000
7/18/2021,10507000
7/19/2021,10477000
7/20/2021,10560000
7/22/2021,10537000
7/24/2021,10523000
7/25/2021,10606000
7/26/2021,10749000
7/27/2021,10775000
7/28/2021,10957000
7/31/2021,11102000
8/1/2021,10975000
8/2/2021,10938000
8/3/2021,10996000
8/4/2021,10989000
8/5/2021,11008000
8/7/2021,10828000
8/8/2021,10865000
8/9/2021,10848000
8/10/2021,10920000
8/11/2021,11102000
8/12/2021,11070000
8/14/2021,11153000
8/15/2021,11377000
8/16/2021,11488000
8/17/2021,11449000
8/21/2021,11465000
8/22/2021,11548000
8/23/2021,11733000
8/24/2021,11756000
8/25/2021,11719000
8/26/2021,11712000
8/28/2021,12012000
8/29/2021,11823000
8/30/2021,11539000
8/31/2021,11652000
9/1/2021,11543000
9/2/2021,11619000
9/4/2021,11622000
9/5/2021,11691000
9/6/2021,11661000
9/7/2021,11682000
9/8/2021,11806000
9/9/2021,11836000
9/11/2021,11737000
9/12/2021,11573000
9/13/2021,11559000
9/14/2021,11668000
9/15/2021,11546000
9/16/2021,11516000
9/18/2021,11303000
9/19/2021,11336000
9/20/2021,11322000
9/21/2021,11426000
9/21/2021,11426000
9/22/2021,11523000
9/23/2021,11562000
9/25/2021,11419000
9/26/2021,11460000
9/28/2021,11513000
9/29/2021,11573000
9/30/2021,11645000
10/2/2021,11670000
10/3/2021,11608000
10/4/2021,11691000
10/4/2021,11691000
10/6/2021,11594000
10/9/2021,11414000
10/10/2021,11428000
10/11/2021,11319000
10/12/2021,11262000
10/13/2021,11414000
10/14/2021,11416000
10/16/2021,11453000
10/17/2021,11412000
10/18/2021,11370000
10/19/2021,11472000
10/20/2021,11426000
10/21/2021,11490000
10/23/2021,11629000
10/25/2021,11691000
10/26/2021,11633000
10/27/2021,11714000
10/28/2021,11716000
10/30/2021,11693000
